Record Number	Category	Title	Aspect Name	Aspect Value
9	1	Zimmermann Bremsscheiben Ø320mm +  Bremsbeläge vorne passend für Audi A6 C5 4B2	Hersteller	Zimmermann
9	1	Zimmermann Bremsscheiben Ø320mm +  Bremsbeläge vorne passend für Audi A6 C5 4B2	Im_Lieferumfang_Enthalten	Bremsscheiben
9	1	Zimmermann Bremsscheiben Ø320mm +  Bremsbeläge vorne passend für Audi A6 C5 4B2	Bremsscheiben-Aussendurchmesser	Ø320mm
9	1	Zimmermann Bremsscheiben Ø320mm +  Bremsbeläge vorne passend für Audi A6 C5 4B2	O	+
9	1	Zimmermann Bremsscheiben Ø320mm +  Bremsbeläge vorne passend für Audi A6 C5 4B2	Im_Lieferumfang_Enthalten	Bremsbeläge
9	1	Zimmermann Bremsscheiben Ø320mm +  Bremsbeläge vorne passend für Audi A6 C5 4B2	Einbauposition	vorne
9	1	Zimmermann Bremsscheiben Ø320mm +  Bremsbeläge vorne passend für Audi A6 C5 4B2	O	passend
9	1	Zimmermann Bremsscheiben Ø320mm +  Bremsbeläge vorne passend für Audi A6 C5 4B2	O	für
9	1	Zimmermann Bremsscheiben Ø320mm +  Bremsbeläge vorne passend für Audi A6 C5 4B2	Kompatible_Fahrzeug_Marke	Audi
9	1	Zimmermann Bremsscheiben Ø320mm +  Bremsbeläge vorne passend für Audi A6 C5 4B2	Kompatibles_Fahrzeug_Modell	A6 C5 4B2
12	2	Kettenkit für VW Audi 1.2TSI Kompl.+KWRad+Ölpumpe 03F198158B CBZ original VW	Produktart	Kettenkit
12	2	Kettenkit für VW Audi 1.2TSI Kompl.+KWRad+Ölpumpe 03F198158B CBZ original VW	O	für
12	2	Kettenkit für VW Audi 1.2TSI Kompl.+KWRad+Ölpumpe 03F198158B CBZ original VW	Kompatible_Fahrzeug_Marke	VW
12	2	Kettenkit für VW Audi 1.2TSI Kompl.+KWRad+Ölpumpe 03F198158B CBZ original VW	Kompatible_Fahrzeug_Marke	Audi
12	2	Kettenkit für VW Audi 1.2TSI Kompl.+KWRad+Ölpumpe 03F198158B CBZ original VW	Kompatibles_Fahrzeug_Modell	1.2TSI
12	2	Kettenkit für VW Audi 1.2TSI Kompl.+KWRad+Ölpumpe 03F198158B CBZ original VW	O	Kompl.+KWRad+Ölpumpe
12	2	Kettenkit für VW Audi 1.2TSI Kompl.+KWRad+Ölpumpe 03F198158B CBZ original VW	Herstellernummer	03F198158B
12	2	Kettenkit für VW Audi 1.2TSI Kompl.+KWRad+Ölpumpe 03F198158B CBZ original VW	Kompatibles_Fahrzeug_Modell	CBZ
12	2	Kettenkit für VW Audi 1.2TSI Kompl.+KWRad+Ölpumpe 03F198158B CBZ original VW	O	original
12	2	Kettenkit für VW Audi 1.2TSI Kompl.+KWRad+Ölpumpe 03F198158B CBZ original VW	Kompatible_Fahrzeug_Marke	VW
13	2	BOSCH Zahnriemensatz & Wasserpumpe A4 8K B8 2.0TDI CAGC CAGB CAGA CMEA CAHB CAHA	Hersteller	BOSCH
13	2	BOSCH Zahnriemensatz & Wasserpumpe A4 8K B8 2.0TDI CAGC CAGB CAGA CMEA CAHB CAHA	Produktart	Zahnriemensatz
13	2	BOSCH Zahnriemensatz & Wasserpumpe A4 8K B8 2.0TDI CAGC CAGB CAGA CMEA CAHB CAHA	O	&
13	2	BOSCH Zahnriemensatz & Wasserpumpe A4 8K B8 2.0TDI CAGC CAGB CAGA CMEA CAHB CAHA	Im_Lieferumfang_Enthalten	Wasserpumpe
13	2	BOSCH Zahnriemensatz & Wasserpumpe A4 8K B8 2.0TDI CAGC CAGB CAGA CMEA CAHB CAHA	Kompatibles_Fahrzeug_Modell	A4 8K B8 2.0TDI CAGC CAGB CAGA CMEA CAHB CAHA
19	1	2x TRW Bremsscheibe Ø288mm + Bremsbeläge vorne passend für MERCEDES SLK R170 200	Anzahl_Der_Einheiten	2x
19	1	2x TRW Bremsscheibe Ø288mm + Bremsbeläge vorne passend für MERCEDES SLK R170 200	Hersteller	TRW
19	1	2x TRW Bremsscheibe Ø288mm + Bremsbeläge vorne passend für MERCEDES SLK R170 200	Im_Lieferumfang_Enthalten	Bremsscheibe
19	1	2x TRW Bremsscheibe Ø288mm + Bremsbeläge vorne passend für MERCEDES SLK R170 200	Bremsscheiben-Aussendurchmesser	Ø288mm
19	1	2x TRW Bremsscheibe Ø288mm + Bremsbeläge vorne passend für MERCEDES SLK R170 200	O	+
19	1	2x TRW Bremsscheibe Ø288mm + Bremsbeläge vorne passend für MERCEDES SLK R170 200	Im_Lieferumfang_Enthalten	Bremsbeläge
19	1	2x TRW Bremsscheibe Ø288mm + Bremsbeläge vorne passend für MERCEDES SLK R170 200	Einbauposition	vorne
19	1	2x TRW Bremsscheibe Ø288mm + Bremsbeläge vorne passend für MERCEDES SLK R170 200	O	passend
19	1	2x TRW Bremsscheibe Ø288mm + Bremsbeläge vorne passend für MERCEDES SLK R170 200	O	für
19	1	2x TRW Bremsscheibe Ø288mm + Bremsbeläge vorne passend für MERCEDES SLK R170 200	Kompatible_Fahrzeug_Marke	MERCEDES
19	1	2x TRW Bremsscheibe Ø288mm + Bremsbeläge vorne passend für MERCEDES SLK R170 200	Kompatibles_Fahrzeug_Modell	SLK R170
19	1	2x TRW Bremsscheibe Ø288mm + Bremsbeläge vorne passend für MERCEDES SLK R170 200	Kompatibles_Fahrzeug_Modell	200
